"","location","elevation","elev_units","coords.x1","coords.x2","optional"
"1840","576-NW",468,"meters",-110.32367,56.107593,TRUE
"1841","791-NW",575,"meters",-112.233109,55.034576,TRUE
"1842","792-NW",580,"meters",-112.013039,55.026519,TRUE
"1843","793-NW",578,"meters",-111.73012,54.976463,TRUE
"1844","825-NW",641,"meters",-111.665276,54.811954,TRUE
"1845","855-NW",594,"meters",-112.363113,54.682022,TRUE
"1846","856-NW",580,"meters",-112.058853,54.65763,TRUE
"1847","1024-NW",616,"meters",-111.22509,53.639076,TRUE
"1848","14-NW",251,"meters",-112.230896,59.796966,TRUE
"1849","296-NW",701,"meters",-112.561646,57.981269,TRUE
"1850","329-NW",266,"meters",-111.269035,57.668869,TRUE
"1851","331-NW",362,"meters",-110.613266,57.633213,TRUE
"1852","360-NW",413,"meters",-110.709099,57.468082,TRUE
"1853","389-NW",367,"meters",-111.113747,57.299912,TRUE
"1854","3-NW",214,"meters",-111.849083,59.94268,TRUE
"1855","443-NW",636,"meters",-113.191315,57.134647,TRUE
"1856","474-NW",519,"meters",-112.872215,56.952861,TRUE
"1857","512-NW",455,"meters",-110.742599,56.56314,TRUE
"1858","514-NW",501,"meters",-110.065025,56.463573,TRUE
"1859","574-NW",582,"meters",-110.90043,56.174919,TRUE
"1860","601-NW",553,"meters",-112.27784,56.145565,TRUE
"1861","632-NW",502,"meters",-112.605103,55.979862,TRUE
"1862","633-NW",575,"meters",-112.23922,55.970794,TRUE
"1863","663-NW",559,"meters",-113.027748,55.847248,TRUE
"1864","792-NW",580,"meters",-112.013039,55.026519,TRUE
"1865","793-NW",578,"meters",-111.73012,54.976463,TRUE
"1866","794-NW",762,"meters",-111.336494,54.970066,TRUE
"1867","823-NW",572,"meters",-112.384628,54.883815,TRUE
"1868","825-NW",641,"meters",-111.665276,54.811954,TRUE
"1869","1022-NW",611,"meters",-111.788589,53.676139,TRUE
"1870","1-NW",330,"meters",-110.282402,59.943126,TRUE
"1871","235-NW",222,"meters",-112.75727,58.367568,TRUE
